,0,1,2
IM-0217-0001.jpeg,normal,tensor(2),"tensor([5.7006e-07, 4.2746e-09, 1.0000e+00, 5.8006e-08])"
IM-0218-0001.jpeg,normal,tensor(2),"tensor([2.0281e-09, 1.3386e-09, 1.0000e+00, 1.9936e-11])"
IM-0219-0001.jpeg,normal,tensor(2),"tensor([3.7420e-06, 1.9618e-07, 1.0000e+00, 4.3805e-08])"
IM-0220-0001.jpeg,normal,tensor(2),"tensor([2.8303e-07, 4.6027e-09, 1.0000e+00, 2.8829e-08])"
IM-0221-0001.jpeg,normal,tensor(2),"tensor([1.1829e-05, 3.6391e-09, 9.9999e-01, 5.3752e-07])"
IM-0222-0001.jpeg,normal,tensor(2),"tensor([3.0309e-06, 8.3776e-09, 1.0000e+00, 2.8132e-09])"
IM-0223-0001.jpeg,normal,tensor(2),"tensor([9.6469e-09, 1.4627e-08, 1.0000e+00, 1.1465e-11])"
IM-0224-0001.jpeg,normal,tensor(2),"tensor([3.0243e-08, 2.8747e-09, 1.0000e+00, 7.5591e-10])"
IM-0225-0001.jpeg,normal,tensor(2),"tensor([6.9527e-10, 2.5098e-09, 1.0000e+00, 9.6723e-10])"
IM-0226-0001.jpeg,normal,tensor(2),"tensor([4.4714e-10, 2.5512e-09, 1.0000e+00, 2.4670e-09])"
IM-0227-0001.jpeg,normal,tensor(2),"tensor([4.9220e-08, 2.1543e-09, 1.0000e+00, 2.4070e-06])"
IM-0228-0001.jpeg,normal,tensor(2),"tensor([2.6521e-06, 2.5694e-06, 9.9994e-01, 5.0970e-05])"
IM-0229-0001.jpeg,normal,tensor(2),"tensor([1.4143e-08, 1.3683e-11, 1.0000e+00, 5.4771e-10])"
nCoV-radiol.2020200269.fig1-day7.jpeg,covid,tensor(1),"tensor([3.2765e-10, 1.0000e+00, 7.5368e-09, 3.0204e-14])"
nejmc2001573_f1a.jpeg,covid,tensor(1),"tensor([2.7158e-05, 9.9984e-01, 1.6699e-06, 1.3004e-04])"
nejmc2001573_f1b.jpeg,covid,tensor(1),"tensor([2.9384e-08, 1.0000e+00, 3.4154e-06, 6.9812e-08])"
nejmoa2001191_f1-PA.jpeg,covid,tensor(1),"tensor([1.2412e-08, 9.9591e-01, 2.5150e-05, 4.0679e-03])"
nejmoa2001191_f3-PA.jpeg,covid,tensor(1),"tensor([1.8010e-04, 9.9903e-01, 6.9491e-04, 9.2495e-05])"
nejmoa2001191_f4.jpeg,covid,tensor(1),"tensor([1.0295e-07, 9.9968e-01, 3.1679e-04, 5.5390e-06])"
nejmoa2001191_f5-PA.jpeg,covid,tensor(1),"tensor([1.1141e-07, 9.9921e-01, 7.0938e-04, 8.4421e-05])"
person1946_bacteria_4874.jpeg,bacteria,tensor(0),"tensor([9.9942e-01, 1.0388e-05, 2.6642e-07, 5.6655e-04])"
person1946_bacteria_4875.jpeg,bacteria,tensor(0),"tensor([9.9997e-01, 2.5482e-06, 1.7800e-05, 1.3851e-05])"
person23_bacteria_85.jpeg,bacteria,tensor(0),"tensor([9.9997e-01, 3.9606e-08, 2.4374e-09, 3.3496e-05])"
person23_bacteria_86.jpeg,bacteria,tensor(0),"tensor([9.9995e-01, 8.1911e-08, 5.1508e-06, 4.2062e-05])"
person23_bacteria_87.jpeg,bacteria,tensor(0),"tensor([1.0000e+00, 1.3373e-08, 1.0861e-09, 1.9550e-07])"
person23_bacteria_88.jpeg,bacteria,tensor(0),"tensor([9.9904e-01, 3.6558e-07, 3.0650e-07, 9.5843e-04])"
person23_bacteria_89.jpeg,bacteria,tensor(0),"tensor([1.0000e+00, 8.7331e-09, 6.2483e-09, 1.1125e-07])"
person23_bacteria_90.jpeg,bacteria,tensor(0),"tensor([1.0000e+00, 2.2917e-11, 8.5802e-09, 8.3407e-11])"
person23_bacteria_91.jpeg,bacteria,tensor(0),"tensor([9.9895e-01, 2.7095e-06, 4.2601e-07, 1.0423e-03])"
person23_bacteria_92.jpeg,bacteria,tensor(0),"tensor([9.9997e-01, 5.2940e-07, 5.6948e-08, 2.6751e-05])"
person23_bacteria_93.jpeg,bacteria,tensor(0),"tensor([9.7492e-01, 7.6253e-05, 2.9215e-06, 2.5001e-02])"
person23_bacteria_94.jpeg,bacteria,tensor(0),"tensor([9.9999e-01, 2.6309e-09, 9.8418e-09, 7.1444e-06])"
person23_bacteria_95.jpeg,bacteria,tensor(0),"tensor([9.9999e-01, 6.3168e-08, 1.4709e-08, 1.1826e-05])"
radiol.2020200490.fig3.jpeg,covid,tensor(1),"tensor([3.7771e-06, 9.9735e-01, 2.6469e-03, 1.9117e-12])"
ryct.2020200028.fig1a.jpeg,covid,tensor(1),"tensor([1.3284e-04, 9.6667e-01, 3.4281e-05, 3.3164e-02])"
ryct.2020200034.fig2.jpeg,covid,tensor(1),"tensor([2.1049e-10, 9.9977e-01, 2.3112e-04, 7.7069e-11])"
ryct.2020200034.fig5-day0.jpeg,covid,tensor(1),"tensor([3.4873e-06, 1.0000e+00, 3.4094e-09, 4.7632e-07])"
ryct.2020200034.fig5-day4.jpeg,covid,tensor(1),"tensor([1.9762e-08, 9.9990e-01, 4.3778e-09, 9.8363e-05])"
ryct.2020200034.fig5-day7.jpeg,covid,tensor(1),"tensor([2.8231e-07, 9.9930e-01, 5.0908e-08, 6.9700e-04])"
