,0,1,2
IM-0217-0001.jpeg,normal,tensor(2),"tensor([9.9824e-03, 9.8748e-05, 9.8122e-01, 8.6995e-03])"
IM-0218-0001.jpeg,normal,tensor(2),"tensor([1.6987e-05, 3.5737e-08, 9.9998e-01, 1.9769e-06])"
IM-0219-0001.jpeg,normal,tensor(2),"tensor([4.5825e-03, 1.1499e-05, 9.9536e-01, 4.2613e-05])"
IM-0220-0001.jpeg,normal,tensor(2),"tensor([2.9473e-05, 2.0941e-06, 9.9997e-01, 7.4592e-07])"
IM-0221-0001.jpeg,normal,tensor(2),"tensor([6.3626e-03, 1.1936e-05, 9.9134e-01, 2.2853e-03])"
IM-0222-0001.jpeg,normal,tensor(2),"tensor([9.5673e-05, 3.9953e-05, 9.9986e-01, 2.3990e-07])"
IM-0223-0001.jpeg,normal,tensor(2),"tensor([1.5179e-05, 6.8935e-06, 9.9998e-01, 2.3435e-06])"
IM-0224-0001.jpeg,normal,tensor(2),"tensor([1.3059e-03, 1.4061e-06, 9.9852e-01, 1.7268e-04])"
IM-0225-0001.jpeg,normal,tensor(2),"tensor([4.1686e-06, 8.3651e-06, 9.9994e-01, 4.3032e-05])"
IM-0226-0001.jpeg,normal,tensor(2),"tensor([4.5547e-06, 8.2817e-05, 9.9990e-01, 1.3319e-05])"
IM-0227-0001.jpeg,normal,tensor(2),"tensor([3.4771e-04, 6.6764e-06, 9.9547e-01, 4.1738e-03])"
IM-0228-0001.jpeg,normal,tensor(2),"tensor([1.1166e-04, 8.0909e-04, 9.9899e-01, 8.4789e-05])"
IM-0229-0001.jpeg,normal,tensor(2),"tensor([4.6308e-03, 1.5454e-05, 9.9533e-01, 2.7014e-05])"
nCoV-radiol.2020200269.fig1-day7.jpeg,covid,tensor(1),"tensor([1.0332e-07, 9.9999e-01, 5.1772e-06, 7.3885e-08])"
nejmc2001573_f1a.jpeg,covid,tensor(1),"tensor([3.9564e-02, 9.5909e-01, 2.6158e-04, 1.0866e-03])"
nejmc2001573_f1b.jpeg,covid,tensor(1),"tensor([2.8746e-06, 9.9930e-01, 4.8318e-04, 2.1568e-04])"
nejmoa2001191_f1-PA.jpeg,covid,tensor(1),"tensor([2.3486e-04, 8.8018e-01, 6.4229e-04, 1.1895e-01])"
nejmoa2001191_f3-PA.jpeg,covid,tensor(1),"tensor([0.0205, 0.9579, 0.0127, 0.0089])"
nejmoa2001191_f4.jpeg,covid,tensor(1),"tensor([0.0015, 0.9876, 0.0085, 0.0024])"
nejmoa2001191_f5-PA.jpeg,covid,tensor(1),"tensor([0.0729, 0.7840, 0.0387, 0.1044])"
person1946_bacteria_4874.jpeg,bacteria,tensor(0),"tensor([5.5175e-01, 3.0232e-05, 5.0608e-04, 4.4772e-01])"
person1946_bacteria_4875.jpeg,bacteria,tensor(0),"tensor([9.8294e-01, 2.6690e-05, 4.3630e-03, 1.2668e-02])"
person23_bacteria_85.jpeg,bacteria,tensor(0),"tensor([9.9974e-01, 1.5500e-07, 2.6056e-06, 2.5586e-04])"
person23_bacteria_86.jpeg,bacteria,tensor(0),"tensor([0.5772, 0.0072, 0.1872, 0.2284])"
person23_bacteria_87.jpeg,bacteria,tensor(0),"tensor([9.9512e-01, 2.5128e-05, 1.2679e-05, 4.8400e-03])"
person23_bacteria_88.jpeg,bacteria,tensor(0),"tensor([9.9970e-01, 8.6948e-08, 1.7489e-07, 2.9749e-04])"
person23_bacteria_89.jpeg,bacteria,tensor(0),"tensor([9.9982e-01, 2.4083e-07, 3.3932e-07, 1.8346e-04])"
person23_bacteria_90.jpeg,bacteria,tensor(0),"tensor([9.9986e-01, 2.8082e-07, 1.1042e-05, 1.2546e-04])"
person23_bacteria_91.jpeg,bacteria,tensor(0),"tensor([9.6525e-01, 1.1061e-06, 1.6531e-06, 3.4749e-02])"
person23_bacteria_92.jpeg,bacteria,tensor(0),"tensor([9.9111e-01, 4.3935e-07, 3.0931e-06, 8.8913e-03])"
person23_bacteria_93.jpeg,bacteria,tensor(0),"tensor([7.4816e-01, 1.5403e-05, 9.9197e-06, 2.5182e-01])"
person23_bacteria_94.jpeg,bacteria,tensor(0),"tensor([9.5792e-01, 3.8489e-05, 4.4671e-04, 4.1596e-02])"
person23_bacteria_95.jpeg,bacteria,tensor(0),"tensor([9.9926e-01, 5.3367e-07, 8.4105e-07, 7.3783e-04])"
radiol.2020200490.fig3.jpeg,virus,tensor(3),"tensor([1.1774e-07, 3.2925e-16, 2.7577e-05, 9.9997e-01])"
ryct.2020200028.fig1a.jpeg,covid,tensor(1),"tensor([1.2769e-04, 9.9465e-01, 5.4803e-05, 5.1658e-03])"
ryct.2020200034.fig2.jpeg,covid,tensor(1),"tensor([6.5686e-05, 9.9425e-01, 5.4268e-03, 2.6157e-04])"
ryct.2020200034.fig5-day0.jpeg,covid,tensor(1),"tensor([1.5352e-03, 9.9765e-01, 1.3026e-05, 7.9832e-04])"
ryct.2020200034.fig5-day4.jpeg,virus,tensor(3),"tensor([7.2546e-07, 1.2352e-01, 7.9744e-06, 8.7647e-01])"
ryct.2020200034.fig5-day7.jpeg,virus,tensor(3),"tensor([1.7669e-02, 1.4008e-01, 2.1485e-04, 8.4204e-01])"
