,0,1,2
CHNCXR_0001_0.png,normal,tensor(2),"tensor([1.0776e-05, 8.1447e-02, 9.1854e-01, 6.2819e-06])"
CHNCXR_0002_0.png,normal,tensor(2),"tensor([1.1037e-05, 1.7296e-01, 8.2702e-01, 1.6854e-06])"
CHNCXR_0003_0.png,normal,tensor(2),"tensor([9.2269e-08, 1.2619e-03, 9.9874e-01, 1.0189e-08])"
CHNCXR_0004_0.png,normal,tensor(2),"tensor([1.6413e-05, 5.6745e-02, 9.4324e-01, 7.0731e-07])"
CHNCXR_0005_0.png,normal,tensor(2),"tensor([2.9171e-06, 2.0728e-04, 9.9979e-01, 8.7166e-10])"
CHNCXR_0006_0.png,normal,tensor(2),"tensor([6.2994e-06, 2.8194e-03, 9.9717e-01, 1.1046e-06])"
CHNCXR_0007_0.png,normal,tensor(2),"tensor([4.7101e-09, 6.7421e-03, 9.9326e-01, 7.6542e-07])"
CHNCXR_0008_0.png,normal,tensor(2),"tensor([2.6364e-05, 5.8093e-04, 9.9939e-01, 5.6538e-07])"
CHNCXR_0009_0.png,normal,tensor(2),"tensor([5.6324e-05, 3.7457e-02, 9.6244e-01, 5.1006e-05])"
CHNCXR_0010_0.png,normal,tensor(2),"tensor([0.0008, 0.2844, 0.7131, 0.0017])"
CHNCXR_0011_0.png,normal,tensor(2),"tensor([1.0860e-06, 7.8830e-02, 9.2116e-01, 8.8314e-06])"
CHNCXR_0012_0.png,normal,tensor(2),"tensor([4.5906e-06, 4.4618e-03, 9.9553e-01, 9.8777e-08])"
CHNCXR_0013_0.png,normal,tensor(2),"tensor([1.2260e-05, 4.8594e-01, 5.1405e-01, 1.8614e-06])"
CHNCXR_0014_0.png,normal,tensor(2),"tensor([5.0210e-07, 2.7276e-02, 9.7272e-01, 1.7021e-08])"
CHNCXR_0015_0.png,normal,tensor(2),"tensor([1.4823e-06, 4.5337e-05, 9.9995e-01, 2.1863e-07])"
CHNCXR_0016_0.png,normal,tensor(2),"tensor([2.4405e-03, 3.7722e-01, 6.2030e-01, 3.7652e-05])"
CHNCXR_0017_0.png,normal,tensor(2),"tensor([2.3677e-06, 2.7109e-01, 7.2891e-01, 4.0158e-07])"
CHNCXR_0018_0.png,normal,tensor(2),"tensor([1.3578e-07, 5.7722e-02, 9.4228e-01, 3.1466e-07])"
CHNCXR_0019_0.png,normal,tensor(2),"tensor([1.5220e-07, 4.3121e-03, 9.9569e-01, 2.5962e-09])"
CHNCXR_0020_0.png,normal,tensor(2),"tensor([2.5240e-07, 7.0400e-05, 9.9993e-01, 2.0497e-08])"
CHNCXR_0021_0.png,normal,tensor(2),"tensor([3.4525e-07, 1.3035e-03, 9.9870e-01, 1.0628e-07])"
CHNCXR_0022_0.png,normal,tensor(2),"tensor([1.8638e-07, 5.1083e-02, 9.4892e-01, 1.4953e-08])"
CHNCXR_0023_0.png,normal,tensor(2),"tensor([8.9458e-08, 1.5289e-05, 9.9998e-01, 2.9944e-08])"
CHNCXR_0024_0.png,normal,tensor(2),"tensor([9.5762e-07, 1.6651e-04, 9.9983e-01, 8.4699e-08])"
CHNCXR_0025_0.png,normal,tensor(2),"tensor([2.5145e-08, 1.2775e-03, 9.9872e-01, 2.2779e-08])"
CHNCXR_0026_0.png,normal,tensor(2),"tensor([4.9481e-05, 1.9667e-02, 9.8028e-01, 1.5941e-06])"
CHNCXR_0027_0.png,normal,tensor(2),"tensor([1.1064e-06, 3.6655e-03, 9.9633e-01, 3.2706e-08])"
CHNCXR_0028_0.png,normal,tensor(2),"tensor([5.3772e-06, 9.1268e-03, 9.9087e-01, 1.1187e-06])"
CHNCXR_0029_0.png,normal,tensor(2),"tensor([7.2292e-04, 6.4743e-03, 9.9271e-01, 9.6156e-05])"
CHNCXR_0030_0.png,normal,tensor(2),"tensor([4.8657e-07, 6.3145e-04, 9.9937e-01, 1.9479e-07])"
CHNCXR_0031_0.png,normal,tensor(2),"tensor([9.3273e-06, 9.4599e-04, 9.9904e-01, 6.0823e-08])"
CHNCXR_0032_0.png,normal,tensor(2),"tensor([1.0367e-06, 3.5542e-04, 9.9964e-01, 6.5805e-09])"
CHNCXR_0033_0.png,normal,tensor(2),"tensor([3.2516e-06, 7.9607e-04, 9.9920e-01, 5.0483e-09])"
CHNCXR_0034_0.png,covid,tensor(1),"tensor([1.3308e-06, 9.9780e-01, 2.1928e-03, 1.4929e-06])"
CHNCXR_0035_0.png,normal,tensor(2),"tensor([1.3205e-05, 5.7612e-02, 9.4237e-01, 5.3368e-06])"
CHNCXR_0036_0.png,normal,tensor(2),"tensor([2.4823e-08, 6.9916e-04, 9.9930e-01, 3.1065e-09])"
CHNCXR_0037_0.png,normal,tensor(2),"tensor([2.6903e-06, 3.9706e-04, 9.9960e-01, 2.0791e-06])"
CHNCXR_0038_0.png,normal,tensor(2),"tensor([1.6032e-07, 8.6834e-05, 9.9991e-01, 3.5184e-10])"
CHNCXR_0039_0.png,covid,tensor(1),"tensor([3.4664e-05, 5.9174e-01, 4.0822e-01, 2.2429e-08])"
CHNCXR_0040_0.png,normal,tensor(2),"tensor([1.1889e-03, 5.4002e-04, 9.9824e-01, 3.4843e-05])"
CHNCXR_0041_0.png,normal,tensor(2),"tensor([2.9520e-05, 8.3447e-03, 9.9163e-01, 3.2396e-07])"
CHNCXR_0042_0.png,normal,tensor(2),"tensor([8.4394e-08, 1.3459e-04, 9.9983e-01, 3.9004e-05])"
CHNCXR_0043_0.png,normal,tensor(2),"tensor([5.4904e-05, 2.1566e-01, 7.8343e-01, 8.4733e-04])"
CHNCXR_0044_0.png,normal,tensor(2),"tensor([7.4488e-08, 2.2542e-06, 1.0000e+00, 6.7465e-09])"
CHNCXR_0045_0.png,normal,tensor(2),"tensor([8.4571e-06, 3.0547e-02, 9.6944e-01, 8.8125e-07])"
CHNCXR_0046_0.png,normal,tensor(2),"tensor([2.8838e-05, 1.5144e-01, 8.4853e-01, 7.5251e-06])"
CHNCXR_0047_0.png,normal,tensor(2),"tensor([5.8928e-09, 7.1382e-03, 9.9286e-01, 2.2631e-09])"
CHNCXR_0048_0.png,normal,tensor(2),"tensor([1.4012e-07, 7.4701e-05, 9.9993e-01, 3.5963e-09])"
CHNCXR_0049_0.png,normal,tensor(2),"tensor([2.4669e-07, 6.9529e-04, 9.9930e-01, 6.9210e-08])"
CHNCXR_0050_0.png,normal,tensor(2),"tensor([9.2113e-08, 1.0795e-04, 9.9989e-01, 2.0920e-08])"
